[0.000000] (-) TimerEvent: {}
[0.001759] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002948] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.004179] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.004766] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.005321] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.005655] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.005906] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.006169] (-) JobUnselected: {'identifier': 'serial'}
[0.006429] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.006660] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.006857] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.007072] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.007348] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.007589] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.007784] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.007972] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.008178] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.008413] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.008616] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.008785] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.008944] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.009107] (-) EventReactorShutdown: {}
