[0.000000] (-) TimerEvent: {}
[0.001694] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002859] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.003310] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.004758] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.005670] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.006157] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.006490] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.006832] (-) JobUnselected: {'identifier': 'serial'}
[0.007153] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.007455] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.007747] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.007962] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.008116] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.008264] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.008412] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.008767] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.009043] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.009296] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.009465] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.009620] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.009814] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.009997] (-) EventReactorShutdown: {}
