[0.000000] (-) TimerEvent: {}
[0.001488] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002361] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.002689] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.002904] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.003064] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.003256] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.003721] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.004279] (-) JobUnselected: {'identifier': 'serial'}
[0.004797] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.005027] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.005176] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.005319] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.005461] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.005606] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.005749] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.005891] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.006034] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.006178] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.006331] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.006493] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.006670] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.006837] (-) EventReactorShutdown: {}
