[0.000000] (-) TimerEvent: {}
[0.001480] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.002434] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.002783] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.003006] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.003169] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.003365] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.003841] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.004301] (-) JobUnselected: {'identifier': 'serial'}
[0.004807] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.005042] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.005206] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.005372] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.005542] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.005708] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.005867] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.006082] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.006281] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.006433] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.006580] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.006739] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.006892] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.007040] (-) EventReactorShutdown: {}
